0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
24.85,21.49,20.85,19.97,21.51,24.58,27.47,35.32,37.23,35.29,33.01,33.38,33.69,35.34,36.22,36.61,37.93,39.52,37.22,35.71,32.01,30.08,27.43,24.09,12.45,13.92,11.08,11.8,19.48,26.93,32.23,37.66,41.51,39.62,38.62,37.46,36.39,35.83,35.27,35.18,35.71,36.22,35.47,33.35,29.33,27.83,26.77,25.4,25.85,24.97,29.79,30.32,31.25,32.25,42.4,45.88,50.0,56.92,58.15,58.95,56.63,52.0,51.0,53.65,58.3,63.09,66.13,63.29,58.16,52.8,51.2,47.18,44.8,40.67,41.24,40.24,39.78,39.9,40.56,41.97,46.0,50.54,53.09,54.34,51.86,45.99,44.34,45.93,52.0,61.98,65.0,62.91,59.3,55.76,53.93,47.89
12.45,13.92,11.08,11.8,19.48,26.93,32.23,37.66,41.51,39.62,38.62,37.46,36.39,35.83,35.27,35.18,35.71,36.22,35.47,33.35,29.33,27.83,26.77,25.4,25.85,24.97,29.79,30.32,31.25,32.25,42.4,45.88,50.0,56.92,58.15,58.95,56.63,52.0,51.0,53.65,58.3,63.09,66.13,63.29,58.16,52.8,51.2,47.18,44.8,40.67,41.24,40.24,39.78,39.9,40.56,41.97,46.0,50.54,53.09,54.34,51.86,45.99,44.34,45.93,52.0,61.98,65.0,62.91,59.3,55.76,53.93,47.89,46.62,43.09,43.0,42.59,42.2,45.66,61.95,70.0,75.62,79.67,74.95,72.2,69.02,67.0,65.91,66.01,67.35,73.46,71.5,65.07,62.52,55.26,50.12,41.02
25.85,24.97,29.79,30.32,31.25,32.25,42.4,45.88,50.0,56.92,58.15,58.95,56.63,52.0,51.0,53.65,58.3,63.09,66.13,63.29,58.16,52.8,51.2,47.18,44.8,40.67,41.24,40.24,39.78,39.9,40.56,41.97,46.0,50.54,53.09,54.34,51.86,45.99,44.34,45.93,52.0,61.98,65.0,62.91,59.3,55.76,53.93,47.89,46.62,43.09,43.0,42.59,42.2,45.66,61.95,70.0,75.62,79.67,74.95,72.2,69.02,67.0,65.91,66.01,67.35,73.46,71.5,65.07,62.52,55.26,50.12,41.02,50.95,49.57,46.9,44.69,46.1,49.8,58.56,70.75,73.95,71.73,73.91,72.0,70.0,65.91,66.33,68.15,68.75,73.73,70.36,63.15,60.49,54.93,51.05,46.56
44.8,40.67,41.24,40.24,39.78,39.9,40.56,41.97,46.0,50.54,53.09,54.34,51.86,45.99,44.34,45.93,52.0,61.98,65.0,62.91,59.3,55.76,53.93,47.89,46.62,43.09,43.0,42.59,42.2,45.66,61.95,70.0,75.62,79.67,74.95,72.2,69.02,67.0,65.91,66.01,67.35,73.46,71.5,65.07,62.52,55.26,50.12,41.02,50.95,49.57,46.9,44.69,46.1,49.8,58.56,70.75,73.95,71.73,73.91,72.0,70.0,65.91,66.33,68.15,68.75,73.73,70.36,63.15,60.49,54.93,51.05,46.56,45.7,44.04,42.61,42.04,42.2,45.0,51.25,62.04,66.79,66.12,65.47,65.94,65.78,65.54,65.84,66.16,66.13,69.85,70.48,63.99,59.64,55.75,53.1,48.39
46.62,43.09,43.0,42.59,42.2,45.66,61.95,70.0,75.62,79.67,74.95,72.2,69.02,67.0,65.91,66.01,67.35,73.46,71.5,65.07,62.52,55.26,50.12,41.02,50.95,49.57,46.9,44.69,46.1,49.8,58.56,70.75,73.95,71.73,73.91,72.0,70.0,65.91,66.33,68.15,68.75,73.73,70.36,63.15,60.49,54.93,51.05,46.56,45.7,44.04,42.61,42.04,42.2,45.0,51.25,62.04,66.79,66.12,65.47,65.94,65.78,65.54,65.84,66.16,66.13,69.85,70.48,63.99,59.64,55.75,53.1,48.39,46.87,44.93,43.83,42.4,43.64,44.41,53.52,68.23,72.52,68.83,67.69,67.44,62.81,61.56,61.06,59.52,68.2,80.07,69.77,61.17,55.67,53.3,51.02,45.51
50.95,49.57,46.9,44.69,46.1,49.8,58.56,70.75,73.95,71.73,73.91,72.0,70.0,65.91,66.33,68.15,68.75,73.73,70.36,63.15,60.49,54.93,51.05,46.56,45.7,44.04,42.61,42.04,42.2,45.0,51.25,62.04,66.79,66.12,65.47,65.94,65.78,65.54,65.84,66.16,66.13,69.85,70.48,63.99,59.64,55.75,53.1,48.39,46.87,44.93,43.83,42.4,43.64,44.41,53.52,68.23,72.52,68.83,67.69,67.44,62.81,61.56,61.06,59.52,68.2,80.07,69.77,61.17,55.67,53.3,51.02,45.51,42.71,40.84,39.37,38.78,39.38,42.96,47.17,65.09,73.39,73.28,68.76,63.54,62.69,62.5,54.99,51.94,63.86,66.45,63.64,59.38,54.34,50.03,45.9,42.79
45.7,44.04,42.61,42.04,42.2,45.0,51.25,62.04,66.79,66.12,65.47,65.94,65.78,65.54,65.84,66.16,66.13,69.85,70.48,63.99,59.64,55.75,53.1,48.39,46.87,44.93,43.83,42.4,43.64,44.41,53.52,68.23,72.52,68.83,67.69,67.44,62.81,61.56,61.06,59.52,68.2,80.07,69.77,61.17,55.67,53.3,51.02,45.51,42.71,40.84,39.37,38.78,39.38,42.96,47.17,65.09,73.39,73.28,68.76,63.54,62.69,62.5,54.99,51.94,63.86,66.45,63.64,59.38,54.34,50.03,45.9,42.79,42.33,40.39,39.05,37.96,38.08,39.41,41.56,43.35,48.74,57.73,57.81,57.78,55.13,50.6,47.99,48.05,56.58,60.58,61.65,59.62,52.78,46.96,46.98,42.3
46.87,44.93,43.83,42.4,43.64,44.41,53.52,68.23,72.52,68.83,67.69,67.44,62.81,61.56,61.06,59.52,68.2,80.07,69.77,61.17,55.67,53.3,51.02,45.51,42.71,40.84,39.37,38.78,39.38,42.96,47.17,65.09,73.39,73.28,68.76,63.54,62.69,62.5,54.99,51.94,63.86,66.45,63.64,59.38,54.34,50.03,45.9,42.79,42.33,40.39,39.05,37.96,38.08,39.41,41.56,43.35,48.74,57.73,57.81,57.78,55.13,50.6,47.99,48.05,56.58,60.58,61.65,59.62,52.78,46.96,46.98,42.3,42.08,40.98,40.51,39.5,39.55,40.62,40.82,41.29,44.85,49.15,50.73,51.14,50.37,46.43,45.95,47.92,52.92,64.46,63.88,62.35,57.99,51.34,49.28,45.36
42.71,40.84,39.37,38.78,39.38,42.96,47.17,65.09,73.39,73.28,68.76,63.54,62.69,62.5,54.99,51.94,63.86,66.45,63.64,59.38,54.34,50.03,45.9,42.79,42.33,40.39,39.05,37.96,38.08,39.41,41.56,43.35,48.74,57.73,57.81,57.78,55.13,50.6,47.99,48.05,56.58,60.58,61.65,59.62,52.78,46.96,46.98,42.3,42.08,40.98,40.51,39.5,39.55,40.62,40.82,41.29,44.85,49.15,50.73,51.14,50.37,46.43,45.95,47.92,52.92,64.46,63.88,62.35,57.99,51.34,49.28,45.36,42.55,40.98,40.94,40.02,40.76,48.31,59.42,149.95,199.94,165.79,125.54,67.18,66.04,66.35,78.45,86.08,140.02,199.94,119.03,70.47,62.29,56.36,55.25,49.4
42.33,40.39,39.05,37.96,38.08,39.41,41.56,43.35,48.74,57.73,57.81,57.78,55.13,50.6,47.99,48.05,56.58,60.58,61.65,59.62,52.78,46.96,46.98,42.3,42.08,40.98,40.51,39.5,39.55,40.62,40.82,41.29,44.85,49.15,50.73,51.14,50.37,46.43,45.95,47.92,52.92,64.46,63.88,62.35,57.99,51.34,49.28,45.36,42.55,40.98,40.94,40.02,40.76,48.31,59.42,149.95,199.94,165.79,125.54,67.18,66.04,66.35,78.45,86.08,140.02,199.94,119.03,70.47,62.29,56.36,55.25,49.4,46.13,45.05,43.59,42.44,43.98,47.72,62.46,116.5,152.25,119.43,100.08,66.77,63.99,62.58,64.43,64.75,78.94,89.28,66.01,60.11,51.19,48.64,46.54,41.98
