,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-03 00:00:00+01:00,46.11,-3.9914722,-1.8891783,-3.7475147,-1.9210215,0.2256754,25.32837,4.415976,0.5198867501190362
2021-01-03 01:00:00+01:00,41.59,-4.0884275,-1.9413004,-3.8448324,-1.934206,0.22962844,25.399689,4.525913,0.5596894974483443
2021-01-03 02:00:00+01:00,37.21,-4.5096483,-1.8550282,-4.204486,-1.8359814,0.24471283,22.35965,4.876275,0.699992212127054
2021-01-03 03:00:00+01:00,35.18,-4.8945045,-2.0956106,-4.5277863,-2.0352497,0.27467597,23.178482,5.324261,0.9111852448394748
2021-01-03 04:00:00+01:00,24.65,-5.640485,-2.9416847,-5.1468925,-2.836255,0.32094157,27.543427,6.3614917,1.5541950177106745
2021-01-03 05:00:00+01:00,23.85,-6.4445124,-3.209859,-5.878789,-3.091772,0.40072632,26.476822,7.199648,2.2530062452318966
2021-01-03 06:00:00+01:00,24.05,-7.2218,-3.929925,-6.5495806,-3.7343645,0.50718355,28.553955,8.221843,3.3553368236833068
2021-01-03 07:00:00+01:00,24.8,-8.430842,-4.293455,-7.504119,-3.9559584,0.62493354,26.987732,9.461123,5.112775834544808
2021-01-03 08:00:00+01:00,24.97,-9.72674,-3.3610573,-8.449945,-3.0534754,0.76333314,19.0625,10.291073,6.579767971301291
2021-01-03 09:00:00+01:00,25.65,-10.554064,-3.463459,-9.090816,-3.1315117,0.88782245,18.167969,11.107826,8.0
2021-01-03 10:00:00+01:00,26.0,-10.771586,-3.8038397,-9.21923,-3.3965015,1.0066738,19.449997,11.423496,8.0
2021-01-03 11:00:00+01:00,26.89,-12.492079,-2.0613165,-10.523839,-1.7733946,1.1516428,9.369949,12.661005,8.0
2021-01-03 12:00:00+01:00,25.87,-12.708056,-2.2777758,-10.677626,-1.9446421,1.2751503,10.161728,12.910576,8.0
2021-01-03 13:00:00+01:00,25.83,-13.323114,-3.7236032,-11.120364,-3.1632528,1.4101486,15.614853,13.833676,8.0
2021-01-03 14:00:00+01:00,26.02,-14.333849,-4.407468,-11.783153,-3.692523,1.523943,17.09198,14.996166,8.0
2021-01-03 15:00:00+01:00,26.5,-14.434274,-4.70926,-11.724613,-3.9100122,1.6205854,18.069199,15.183063,8.0
2021-01-03 16:00:00+01:00,33.27,-14.600278,-5.2819824,-11.711876,-4.330682,1.6937599,19.888748,15.526347,8.0
2021-01-03 17:00:00+01:00,43.96,-14.932923,-6.3451385,-12.031203,-5.2550154,1.7691059,23.021103,16.225073,8.0
2021-01-03 18:00:00+01:00,43.35,-15.3235035,-6.818816,-12.291362,-5.6437902,1.8602791,23.988632,16.772179,8.0
2021-01-03 19:00:00+01:00,27.92,-15.370118,-7.1335163,-12.285633,-5.911007,1.956111,24.896774,16.94484,8.0
2021-01-03 20:00:00+01:00,27.56,-14.450199,-7.5092955,-11.626263,-6.254094,2.003911,27.459427,16.284895,8.0
2021-01-03 21:00:00+01:00,27.04,-14.127776,-7.656597,-11.423526,-6.417184,2.009138,28.455643,16.069149,8.0
2021-01-03 22:00:00+01:00,26.18,-13.845234,-7.688487,-11.239227,-6.486905,1.9993649,29.044144,15.836772,8.0
2021-01-03 23:00:00+01:00,24.92,-13.505663,-7.7457037,-11.006272,-6.545226,1.9521046,29.834946,15.569163,8.0
2021-01-04 00:00:00+01:00,24.66,-12.264257,-8.784121,-10.007819,-7.4182587,1.9174328,35.611664,15.085516,8.0
